text,intent,shape
can you skin area of sphere,calculate_surface_area,sphere
OUTSIDE AREA OF PYRAMID,calculate_surface_area,pyramid
i want to outer area of pyramid,calculate_surface_area,pyramid
prism surface area please,calculate_surface_area,prism
SURFACE OF A SPHERE,calculate_surface_area,sphere
please skin area of cylinder,calculate_surface_area,cylinder
FIND SURFACE AREA OF PRISM,calculate_surface_area,prism
please outside area of prism,calculate_surface_area,prism
total surface area of cone?,calculate_surface_area,cone
can you pyramid surface area,calculate_surface_area,pyramid
TOTAL SURFACE AREA OF CYLINDER,calculate_surface_area,cylinder
cylinder surface area,calculate_surface_area,cylinder
calculate the surface area of a torus,calculate_surface_area,torus
sphere surface area?,calculate_surface_area,sphere
outer area of pyramid,calculate_surface_area,pyramid
i want to skin area of cylinder,calculate_surface_area,cylinder
i want to rectangular prism surface area,calculate_surface_area,rectangular_prism
surface  of  a  torus,calculate_surface_area,torus
can you outside area of sphere,calculate_surface_area,sphere
calculate  the  surface  area  of  a  cone,calculate_surface_area,cone
surface  of  a  pyramid,calculate_surface_area,pyramid
calculate  the  surface  area  of  a  prism,calculate_surface_area,prism
SURFACE OF A SPHERE,calculate_surface_area,sphere
can you total surface area of cube,calculate_surface_area,cube
rectangular prism surface area,calculate_surface_area,rectangular_prism
pyramid surface area please,calculate_surface_area,pyramid
outside area of rectangular prism please,calculate_surface_area,rectangular_prism
outside area of cylinder?,calculate_surface_area,cylinder
torus surface area please,calculate_surface_area,torus
please calculate the surface area of a cone,calculate_surface_area,cone
can you what is the surface area of a sphere,calculate_surface_area,sphere
what  is  the  surface  area  of  a  cone,calculate_surface_area,cone
please skin area of pyramid,calculate_surface_area,pyramid
can you find surface area of sphere,calculate_surface_area,sphere
can you cube surface area,calculate_surface_area,cube
FIND SURFACE AREA OF RECTANGULAR PRISM,calculate_surface_area,rectangular_prism
skin  area  of  torus,calculate_surface_area,torus
i want to total surface area of prism,calculate_surface_area,prism
skin area of sphere please,calculate_surface_area,sphere
i want to outer area of cylinder,calculate_surface_area,cylinder
Outside area of cone,calculate_surface_area,cone
please surface of a cylinder,calculate_surface_area,cylinder
skin area of sphere,calculate_surface_area,sphere
SURFACE OF A PRISM,calculate_surface_area,prism
SKIN AREA OF PRISM,calculate_surface_area,prism
find surface area of cone please,calculate_surface_area,cone
can you surface of a rectangular prism,calculate_surface_area,rectangular_prism
sphere surface area,calculate_surface_area,sphere
Outer area of pyramid,calculate_surface_area,pyramid
Outside area of prism,calculate_surface_area,prism
Find surface area of cube,calculate_surface_area,cube
TOTAL SURFACE AREA OF CYLINDER,calculate_surface_area,cylinder
Find surface area of rectangular prism,calculate_surface_area,rectangular_prism
please outside area of cone,calculate_surface_area,cone
total  surface  area  of  sphere,calculate_surface_area,sphere
surface of a cylinder please,calculate_surface_area,cylinder
Surface of a prism,calculate_surface_area,prism
please calculate the surface area of a torus,calculate_surface_area,torus
find  surface  area  of  cube,calculate_surface_area,cube
Calculate the surface area of a cone,calculate_surface_area,cone
what is the surface area of a sphere please,calculate_surface_area,sphere
calculate the surface area of a rectangular prism?,calculate_surface_area,rectangular_prism
surface of a torus?,calculate_surface_area,torus
what is the surface area of a cube please,calculate_surface_area,cube
outer  area  of  sphere,calculate_surface_area,sphere
outside area of rectangular prism,calculate_surface_area,rectangular_prism
outer  area  of  torus,calculate_surface_area,torus
can you find surface area of cube,calculate_surface_area,cube
surface of a prism please,calculate_surface_area,prism
please calculate the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
Outer area of pyramid,calculate_surface_area,pyramid
surface of a prism?,calculate_surface_area,prism
Skin area of torus,calculate_surface_area,torus
please what is the surface area of a pyramid,calculate_surface_area,pyramid
can you outer area of pyramid,calculate_surface_area,pyramid
can you what is the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
can you skin area of cone,calculate_surface_area,cone
SURFACE OF A CUBE,calculate_surface_area,cube
can you outer area of rectangular prism,calculate_surface_area,rectangular_prism
prism  surface  area,calculate_surface_area,prism
i want to skin area of cone,calculate_surface_area,cone
cube surface area,calculate_surface_area,cube
find surface area of rectangular prism,calculate_surface_area,rectangular_prism
TOTAL SURFACE AREA OF PRISM,calculate_surface_area,prism
Surface of a torus,calculate_surface_area,torus
OUTSIDE AREA OF RECTANGULAR PRISM,calculate_surface_area,rectangular_prism
total  surface  area  of  sphere,calculate_surface_area,sphere
pyramid  surface  area,calculate_surface_area,pyramid
what is the surface area of a cylinder?,calculate_surface_area,cylinder
calculate the surface area of a cylinder?,calculate_surface_area,cylinder
please what is the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
please skin area of cube,calculate_surface_area,cube
calculate the surface area of a prism,calculate_surface_area,prism
total surface area of cylinder please,calculate_surface_area,cylinder
outside area of torus?,calculate_surface_area,torus
can you total surface area of torus,calculate_surface_area,torus
total  surface  area  of  sphere,calculate_surface_area,sphere
i want to surface of a cone,calculate_surface_area,cone
sphere surface area please,calculate_surface_area,sphere
calculate the surface area of a cylinder?,calculate_surface_area,cylinder
WHAT IS THE SURFACE AREA OF A CONE,calculate_surface_area,cone
i want to outer area of prism,calculate_surface_area,prism
please surface of a torus,calculate_surface_area,torus
cone surface area?,calculate_surface_area,cone
outer area of sphere,calculate_surface_area,sphere
surface of a torus please,calculate_surface_area,torus
can you find surface area of cone,calculate_surface_area,cone
please total surface area of torus,calculate_surface_area,torus
i want to pyramid surface area,calculate_surface_area,pyramid
outside area of cube,calculate_surface_area,cube
Outer area of sphere,calculate_surface_area,sphere
surface of a torus please,calculate_surface_area,torus
please total surface area of sphere,calculate_surface_area,sphere
Skin area of cube,calculate_surface_area,cube
can you surface of a rectangular prism,calculate_surface_area,rectangular_prism
Surface of a prism,calculate_surface_area,prism
total surface area of prism,calculate_surface_area,prism
find surface area of cylinder please,calculate_surface_area,cylinder
i want to total surface area of prism,calculate_surface_area,prism
FIND SURFACE AREA OF RECTANGULAR PRISM,calculate_surface_area,rectangular_prism
can you find surface area of pyramid,calculate_surface_area,pyramid
i want to outside area of torus,calculate_surface_area,torus
skin  area  of  sphere,calculate_surface_area,sphere
Outer area of sphere,calculate_surface_area,sphere
calculate the surface area of a sphere?,calculate_surface_area,sphere
i want to what is the surface area of a cube,calculate_surface_area,cube
outside  area  of  torus,calculate_surface_area,torus
Total surface area of cylinder,calculate_surface_area,cylinder
can you skin area of sphere,calculate_surface_area,sphere
TOTAL SURFACE AREA OF TORUS,calculate_surface_area,torus
please what is the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
skin area of cylinder?,calculate_surface_area,cylinder
can you outer area of prism,calculate_surface_area,prism
pyramid  surface  area,calculate_surface_area,pyramid
find surface area of torus please,calculate_surface_area,torus
OUTER AREA OF TORUS,calculate_surface_area,torus
i want to rectangular prism surface area,calculate_surface_area,rectangular_prism
i want to total surface area of pyramid,calculate_surface_area,pyramid
can you find surface area of torus,calculate_surface_area,torus
calculate  the  surface  area  of  a  rectangular  prism,calculate_surface_area,rectangular_prism
i want to outer area of cone,calculate_surface_area,cone
calculate the surface area of a cube?,calculate_surface_area,cube
Calculate the surface area of a prism,calculate_surface_area,prism
please calculate the surface area of a pyramid,calculate_surface_area,pyramid
i want to what is the surface area of a cube,calculate_surface_area,cube
i want to surface of a cone,calculate_surface_area,cone
outer area of pyramid please,calculate_surface_area,pyramid
sphere  surface  area,calculate_surface_area,sphere
surface of a sphere,calculate_surface_area,sphere
OUTSIDE AREA OF RECTANGULAR PRISM,calculate_surface_area,rectangular_prism
please calculate the surface area of a prism,calculate_surface_area,prism
please skin area of cube,calculate_surface_area,cube
please outside area of pyramid,calculate_surface_area,pyramid
outer area of torus please,calculate_surface_area,torus
total surface area of prism?,calculate_surface_area,prism
please skin area of sphere,calculate_surface_area,sphere
outer area of rectangular prism,calculate_surface_area,rectangular_prism
calculate the surface area of a rectangular prism please,calculate_surface_area,rectangular_prism
outer area of prism,calculate_surface_area,prism
calculate the surface area of a sphere,calculate_surface_area,sphere
what is the surface area of a rectangular prism?,calculate_surface_area,rectangular_prism
i want to skin area of pyramid,calculate_surface_area,pyramid
i want to find surface area of cone,calculate_surface_area,cone
Total surface area of pyramid,calculate_surface_area,pyramid
find surface area of sphere please,calculate_surface_area,sphere
outside  area  of  cube,calculate_surface_area,cube
Total surface area of sphere,calculate_surface_area,sphere
i want to find surface area of rectangular prism,calculate_surface_area,rectangular_prism
calculate the surface area of a cone?,calculate_surface_area,cone
OUTER AREA OF TORUS,calculate_surface_area,torus
FIND SURFACE AREA OF CONE,calculate_surface_area,cone
TOTAL SURFACE AREA OF CYLINDER,calculate_surface_area,cylinder
FIND SURFACE AREA OF SPHERE,calculate_surface_area,sphere
rectangular prism surface area please,calculate_surface_area,rectangular_prism
calculate the surface area of a cube?,calculate_surface_area,cube
total surface area of torus please,calculate_surface_area,torus
please calculate the surface area of a cylinder,calculate_surface_area,cylinder
outside area of cylinder?,calculate_surface_area,cylinder
FIND SURFACE AREA OF PRISM,calculate_surface_area,prism
outer area of rectangular prism,calculate_surface_area,rectangular_prism
can you outer area of torus,calculate_surface_area,torus
OUTSIDE AREA OF CONE,calculate_surface_area,cone
find surface area of rectangular prism please,calculate_surface_area,rectangular_prism
what is the surface area of a prism please,calculate_surface_area,prism
Cube surface area,calculate_surface_area,cube
cone surface area please,calculate_surface_area,cone
i want to cube surface area,calculate_surface_area,cube
calculate the surface area of a torus please,calculate_surface_area,torus
OUTSIDE AREA OF RECTANGULAR PRISM,calculate_surface_area,rectangular_prism
can you calculate the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
Outer area of rectangular prism,calculate_surface_area,rectangular_prism
please what is the surface area of a prism,calculate_surface_area,prism
Prism surface area,calculate_surface_area,prism
please find surface area of cube,calculate_surface_area,cube
Find surface area of sphere,calculate_surface_area,sphere
skin  area  of  prism,calculate_surface_area,prism
i want to calculate the surface area of a cylinder,calculate_surface_area,cylinder
skin area of prism?,calculate_surface_area,prism
What is the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
PYRAMID SURFACE AREA,calculate_surface_area,pyramid
torus surface area,calculate_surface_area,torus
please what is the surface area of a cube,calculate_surface_area,cube
outside area of rectangular prism please,calculate_surface_area,rectangular_prism
outer area of prism?,calculate_surface_area,prism
skin area of torus,calculate_surface_area,torus
find surface area of sphere please,calculate_surface_area,sphere
i want to calculate the surface area of a prism,calculate_surface_area,prism
i want to what is the surface area of a prism,calculate_surface_area,prism
can you skin area of pyramid,calculate_surface_area,pyramid
total surface area of cylinder,calculate_surface_area,cylinder
skin area of rectangular prism please,calculate_surface_area,rectangular_prism
Find surface area of cube,calculate_surface_area,cube
Calculate the surface area of a pyramid,calculate_surface_area,pyramid
total surface area of prism?,calculate_surface_area,prism
can you find surface area of cone,calculate_surface_area,cone
Calculate the surface area of a torus,calculate_surface_area,torus
what  is  the  surface  area  of  a  rectangular  prism,calculate_surface_area,rectangular_prism
please total surface area of torus,calculate_surface_area,torus
rectangular prism surface area,calculate_surface_area,rectangular_prism
CALCULATE THE SURFACE AREA OF A TORUS,calculate_surface_area,torus
total  surface  area  of  cone,calculate_surface_area,cone
cone surface area?,calculate_surface_area,cone
please calculate the surface area of a torus,calculate_surface_area,torus
please outside area of cone,calculate_surface_area,cone
please total surface area of pyramid,calculate_surface_area,pyramid
cone surface area,calculate_surface_area,cone
can you find surface area of cube,calculate_surface_area,cube
what is the surface area of a prism?,calculate_surface_area,prism
what is the surface area of a rectangular prism please,calculate_surface_area,rectangular_prism
OUTER AREA OF CUBE,calculate_surface_area,cube
can you cone surface area,calculate_surface_area,cone
outside area of cone please,calculate_surface_area,cone
calculate the surface area of a cube,calculate_surface_area,cube
please pyramid surface area,calculate_surface_area,pyramid
Outside area of sphere,calculate_surface_area,sphere
rectangular prism surface area please,calculate_surface_area,rectangular_prism
Skin area of prism,calculate_surface_area,prism
can you skin area of cube,calculate_surface_area,cube
OUTSIDE AREA OF TORUS,calculate_surface_area,torus
i want to calculate the surface area of a cylinder,calculate_surface_area,cylinder
Find surface area of pyramid,calculate_surface_area,pyramid
please torus surface area,calculate_surface_area,torus
skin area of torus?,calculate_surface_area,torus
skin area of cone please,calculate_surface_area,cone
please what is the surface area of a torus,calculate_surface_area,torus
outer area of torus?,calculate_surface_area,torus
total surface area of pyramid?,calculate_surface_area,pyramid
total surface area of cone?,calculate_surface_area,cone
calculate the surface area of a cube,calculate_surface_area,cube
total  surface  area  of  cylinder,calculate_surface_area,cylinder
outer  area  of  prism,calculate_surface_area,prism
please find surface area of pyramid,calculate_surface_area,pyramid
can you skin area of prism,calculate_surface_area,prism
outer area of prism?,calculate_surface_area,prism
What is the surface area of a cylinder,calculate_surface_area,cylinder
CYLINDER SURFACE AREA,calculate_surface_area,cylinder
PYRAMID SURFACE AREA,calculate_surface_area,pyramid
surface of a pyramid please,calculate_surface_area,pyramid
OUTSIDE AREA OF TORUS,calculate_surface_area,torus
please outer area of sphere,calculate_surface_area,sphere
total surface area of prism,calculate_surface_area,prism
Find surface area of rectangular prism,calculate_surface_area,rectangular_prism
surface of a sphere,calculate_surface_area,sphere
i want to surface of a sphere,calculate_surface_area,sphere
outer area of prism,calculate_surface_area,prism
i want to outside area of sphere,calculate_surface_area,sphere
can you find surface area of pyramid,calculate_surface_area,pyramid
i want to calculate the surface area of a prism,calculate_surface_area,prism
outer area of cylinder please,calculate_surface_area,cylinder
total surface area of cube,calculate_surface_area,cube
Skin area of pyramid,calculate_surface_area,pyramid
surface  of  a  sphere,calculate_surface_area,sphere
Total surface area of cylinder,calculate_surface_area,cylinder
outer  area  of  cube,calculate_surface_area,cube
please surface of a prism,calculate_surface_area,prism
outside area of cone,calculate_surface_area,cone
calculate the surface area of a cone?,calculate_surface_area,cone
outer  area  of  cube,calculate_surface_area,cube
please outside area of prism,calculate_surface_area,prism
TOTAL SURFACE AREA OF CUBE,calculate_surface_area,cube
cone  surface  area,calculate_surface_area,cone
find surface area of cylinder,calculate_surface_area,cylinder
What is the surface area of a cone,calculate_surface_area,cone
i want to total surface area of cylinder,calculate_surface_area,cylinder
surface of a prism please,calculate_surface_area,prism
outer area of sphere,calculate_surface_area,sphere
skin area of sphere please,calculate_surface_area,sphere
what is the surface area of a sphere,calculate_surface_area,sphere
CALCULATE THE SURFACE AREA OF A CYLINDER,calculate_surface_area,cylinder
total surface area of pyramid,calculate_surface_area,pyramid
what is the surface area of a sphere,calculate_surface_area,sphere
i want to outside area of torus,calculate_surface_area,torus
total  surface  area  of  pyramid,calculate_surface_area,pyramid
total surface area of rectangular prism,calculate_surface_area,rectangular_prism
SURFACE OF A TORUS,calculate_surface_area,torus
Outer area of rectangular prism,calculate_surface_area,rectangular_prism
Prism surface area,calculate_surface_area,prism
calculate  the  surface  area  of  a  cone,calculate_surface_area,cone
can you surface of a pyramid,calculate_surface_area,pyramid
calculate the surface area of a prism,calculate_surface_area,prism
Outside area of cylinder,calculate_surface_area,cylinder
Cone surface area,calculate_surface_area,cone
i want to what is the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
WHAT IS THE SURFACE AREA OF A CYLINDER,calculate_surface_area,cylinder
please surface of a prism,calculate_surface_area,prism
can you total surface area of sphere,calculate_surface_area,sphere
Find surface area of cone,calculate_surface_area,cone
outer area of pyramid?,calculate_surface_area,pyramid
What is the surface area of a rectangular prism,calculate_surface_area,rectangular_prism
Outer area of rectangular prism,calculate_surface_area,rectangular_prism
Find surface area of cylinder,calculate_surface_area,cylinder
skin area of rectangular prism,calculate_surface_area,rectangular_prism
total surface area of sphere,calculate_surface_area,sphere
What is the surface area of a cone,calculate_surface_area,cone
outer area of prism please,calculate_surface_area,prism
can you surface of a prism,calculate_surface_area,prism
can you calculate the surface area of a sphere,calculate_surface_area,sphere
calculate  the  surface  area  of  a  pyramid,calculate_surface_area,pyramid
i want to skin area of torus,calculate_surface_area,torus
TOTAL SURFACE AREA OF PYRAMID,calculate_surface_area,pyramid
outer  area  of  prism,calculate_surface_area,prism
OUTER AREA OF CUBE,calculate_surface_area,cube
outer  area  of  torus,calculate_surface_area,torus
calculate  the  surface  area  of  a  torus,calculate_surface_area,torus
what is the surface area of a prism?,calculate_surface_area,prism
surface of a cylinder?,calculate_surface_area,cylinder
can you surface of a rectangular prism,calculate_surface_area,rectangular_prism
FIND SURFACE AREA OF TORUS,calculate_surface_area,torus
What is the surface area of a cone,calculate_surface_area,cone
skin  area  of  cube,calculate_surface_area,cube
outside area of cone please,calculate_surface_area,cone
can you what is the surface area of a pyramid,calculate_surface_area,pyramid
total surface area of cube?,calculate_surface_area,cube
can you surface of a sphere,calculate_surface_area,sphere
please prism surface area,calculate_surface_area,prism
CALCULATE THE SURFACE AREA OF A RECTANGULAR PRISM,calculate_surface_area,rectangular_prism
CUBE SURFACE AREA,calculate_surface_area,cube
can you find surface area of prism,calculate_surface_area,prism
please calculate the surface area of a sphere,calculate_surface_area,sphere
total surface area of torus?,calculate_surface_area,torus
Outer area of cylinder,calculate_surface_area,cylinder
skin area of cube please,calculate_surface_area,cube
FIND SURFACE AREA OF CYLINDER,calculate_surface_area,cylinder
Outside area of pyramid,calculate_surface_area,pyramid
please find surface area of rectangular prism,calculate_surface_area,rectangular_prism
outside area of cylinder please,calculate_surface_area,cylinder
pyramid surface area?,calculate_surface_area,pyramid
Outside area of cone,calculate_surface_area,cone
outside area of cylinder please,calculate_surface_area,cylinder
prism surface area?,calculate_surface_area,prism
can you calculate the surface area of a torus,calculate_surface_area,torus
total surface area of sphere?,calculate_surface_area,sphere
outer  area  of  cone,calculate_surface_area,cone
i want to outer area of prism,calculate_surface_area,prism
outside area of cube please,calculate_surface_area,cube
skin area of sphere?,calculate_surface_area,sphere
Skin area of pyramid,calculate_surface_area,pyramid
all measurements for torus,calculate_all,torus
calculate  all  properties  of  a  trapezoid,calculate_all,trapezoid
Analyze a torus,calculate_all,torus
please tell me everything about a sphere,calculate_all,sphere
complete calculation for trapezoid please,calculate_all,trapezoid
SPHERE,calculate_all,sphere
i want to cylinder,calculate_all,cylinder
i want to calculate all properties of a cube,calculate_all,cube
right  triangle,calculate_all,right_triangle
tell me everything about a pyramid please,calculate_all,pyramid
COMPLETE CALCULATION FOR SQUARE,calculate_all,square
all measurements for triangle?,calculate_all,triangle
All measurements for triangle,calculate_all,triangle
analyze a pyramid please,calculate_all,pyramid
Tell me everything about a polygon,calculate_all,polygon
All sphere properties,calculate_all,sphere
full analysis of cube,calculate_all,cube
i want to cylinder,calculate_all,cylinder
Analyze a prism,calculate_all,prism
tell me everything about a right triangle,calculate_all,right_triangle
i want to tell me everything about a torus,calculate_all,torus
complete calculation for square,calculate_all,square
All triangle properties,calculate_all,triangle
prism please,calculate_all,prism
tell me everything about a cone?,calculate_all,cone
complete calculation for circle?,calculate_all,circle
complete calculation for rectangle?,calculate_all,rectangle
complete calculation for triangle?,calculate_all,triangle
can you everything about triangle,calculate_all,triangle
i want to full analysis of rectangle,calculate_all,rectangle
ALL TRAPEZOID PROPERTIES,calculate_all,trapezoid
analyze a parallelogram please,calculate_all,parallelogram
Analyze a pyramid,calculate_all,pyramid
i want to parallelogram,calculate_all,parallelogram
Complete calculation for square,calculate_all,square
All cylinder properties,calculate_all,cylinder
complete  calculation  for  parallelogram,calculate_all,parallelogram
full analysis of right triangle,calculate_all,right_triangle
tell  me  everything  about  a  parallelogram,calculate_all,parallelogram
tell  me  everything  about  a  polygon,calculate_all,polygon
please full analysis of triangle,calculate_all,triangle
i want to all cube properties,calculate_all,cube
please triangle,calculate_all,triangle
please full analysis of square,calculate_all,square
i want to full analysis of ellipse,calculate_all,ellipse
calculate all properties of a prism,calculate_all,prism
ALL MEASUREMENTS FOR ELLIPSE,calculate_all,ellipse
all measurements for square,calculate_all,square
complete calculation for ellipse,calculate_all,ellipse
please analyze a cone,calculate_all,cone
ELLIPSE,calculate_all,ellipse
can you complete calculation for circle,calculate_all,circle
i want to full analysis of rectangular prism,calculate_all,rectangular_prism
complete calculation for circle please,calculate_all,circle
can you analyze a cube,calculate_all,cube
CALCULATE ALL PROPERTIES OF A PYRAMID,calculate_all,pyramid
Full analysis of parallelogram,calculate_all,parallelogram
tell me everything about a prism,calculate_all,prism
trapezoid,calculate_all,trapezoid
triangle please,calculate_all,triangle
all prism properties please,calculate_all,prism
CALCULATE ALL PROPERTIES OF A SPHERE,calculate_all,sphere
cube,calculate_all,cube
i want to all measurements for parallelogram,calculate_all,parallelogram
All pyramid properties,calculate_all,pyramid
tell me everything about a circle please,calculate_all,circle
all circle properties?,calculate_all,circle
tell me everything about a square?,calculate_all,square
full  analysis  of  polygon,calculate_all,polygon
everything  about  square,calculate_all,square
can you calculate all properties of a cylinder,calculate_all,cylinder
all  triangle  properties,calculate_all,triangle
Tell me everything about a rectangular prism,calculate_all,rectangular_prism
ANALYZE A CIRCLE,calculate_all,circle
everything about ellipse?,calculate_all,ellipse
All measurements for cone,calculate_all,cone
please torus,calculate_all,torus
can you full analysis of ellipse,calculate_all,ellipse
complete  calculation  for  prism,calculate_all,prism
can you full analysis of square,calculate_all,square
can you complete calculation for rectangle,calculate_all,rectangle
can you calculate all properties of a cone,calculate_all,cone
everything about prism?,calculate_all,prism
analyze a sphere?,calculate_all,sphere
i want to everything about cylinder,calculate_all,cylinder
everything about polygon?,calculate_all,polygon
please all measurements for rectangle,calculate_all,rectangle
please ellipse,calculate_all,ellipse
can you everything about triangle,calculate_all,triangle
i want to all measurements for rectangle,calculate_all,rectangle
all measurements for rectangular prism,calculate_all,rectangular_prism
calculate all properties of a trapezoid,calculate_all,trapezoid
calculate all properties of a parallelogram,calculate_all,parallelogram
i want to full analysis of cylinder,calculate_all,cylinder
Complete calculation for right triangle,calculate_all,right_triangle
complete  calculation  for  ellipse,calculate_all,ellipse
all measurements for polygon please,calculate_all,polygon
please ellipse,calculate_all,ellipse
complete  calculation  for  cylinder,calculate_all,cylinder
all measurements for rectangle please,calculate_all,rectangle
rectangular prism please,calculate_all,rectangular_prism
can you calculate all properties of a right triangle,calculate_all,right_triangle
tell me everything about a polygon,calculate_all,polygon
tell me everything about a prism,calculate_all,prism
TELL ME EVERYTHING ABOUT A PARALLELOGRAM,calculate_all,parallelogram
analyze a prism?,calculate_all,prism
analyze a sphere,calculate_all,sphere
tell me everything about a pyramid please,calculate_all,pyramid
Full analysis of triangle,calculate_all,triangle
i want to tell me everything about a square,calculate_all,square
all prism properties,calculate_all,prism
i want to complete calculation for rectangular prism,calculate_all,rectangular_prism
tell me everything about a prism,calculate_all,prism
full analysis of triangle,calculate_all,triangle
Analyze a circle,calculate_all,circle
all measurements for square,calculate_all,square
tell me everything about a ellipse please,calculate_all,ellipse
All measurements for rectangle,calculate_all,rectangle
FULL ANALYSIS OF POLYGON,calculate_all,polygon
full analysis of polygon please,calculate_all,polygon
please complete calculation for prism,calculate_all,prism
all  pyramid  properties,calculate_all,pyramid
square,calculate_all,square
Everything about polygon,calculate_all,polygon
can you everything about torus,calculate_all,torus
TRAPEZOID,calculate_all,trapezoid
tell me everything about a ellipse?,calculate_all,ellipse
polygon please,calculate_all,polygon
can you everything about cylinder,calculate_all,cylinder
all measurements for triangle?,calculate_all,triangle
complete calculation for cylinder please,calculate_all,cylinder
everything about sphere?,calculate_all,sphere
CALCULATE ALL PROPERTIES OF A SQUARE,calculate_all,square
please calculate all properties of a prism,calculate_all,prism
tell  me  everything  about  a  polygon,calculate_all,polygon
all cylinder properties please,calculate_all,cylinder
please full analysis of cylinder,calculate_all,cylinder
all  circle  properties,calculate_all,circle
all  measurements  for  torus,calculate_all,torus
i want to tell me everything about a right triangle,calculate_all,right_triangle
can you all cone properties,calculate_all,cone
ALL CIRCLE PROPERTIES,calculate_all,circle
i want to full analysis of right triangle,calculate_all,right_triangle
i want to everything about rectangular prism,calculate_all,rectangular_prism
i want to analyze a polygon,calculate_all,polygon
complete calculation for trapezoid please,calculate_all,trapezoid
can you analyze a rectangle,calculate_all,rectangle
cube,calculate_all,cube
Complete calculation for torus,calculate_all,torus
can you all measurements for parallelogram,calculate_all,parallelogram
EVERYTHING ABOUT RECTANGULAR PRISM,calculate_all,rectangular_prism
can you full analysis of circle,calculate_all,circle
everything about rectangular prism,calculate_all,rectangular_prism
can you all square properties,calculate_all,square
Trapezoid,calculate_all,trapezoid
Calculate all properties of a cube,calculate_all,cube
can you complete calculation for rectangular prism,calculate_all,rectangular_prism
analyze a square?,calculate_all,square
can you all measurements for prism,calculate_all,prism
TELL ME EVERYTHING ABOUT A POLYGON,calculate_all,polygon
please full analysis of parallelogram,calculate_all,parallelogram
please all measurements for triangle,calculate_all,triangle
can you everything about ellipse,calculate_all,ellipse
please calculate all properties of a cylinder,calculate_all,cylinder
full analysis of circle,calculate_all,circle
complete  calculation  for  torus,calculate_all,torus
RECTANGLE,calculate_all,rectangle
can you calculate all properties of a right triangle,calculate_all,right_triangle
all parallelogram properties?,calculate_all,parallelogram
Full analysis of ellipse,calculate_all,ellipse
can you tell me everything about a rectangle,calculate_all,rectangle
Cylinder,calculate_all,cylinder
everything  about  cube,calculate_all,cube
circle please,calculate_all,circle
i want to everything about right triangle,calculate_all,right_triangle
i want to analyze a parallelogram,calculate_all,parallelogram
everything about trapezoid,calculate_all,trapezoid
calculate all properties of a circle?,calculate_all,circle
ALL MEASUREMENTS FOR TRAPEZOID,calculate_all,trapezoid
please rectangular prism,calculate_all,rectangular_prism
can you circle,calculate_all,circle
FULL ANALYSIS OF CUBE,calculate_all,cube
Full analysis of cylinder,calculate_all,cylinder
Torus,calculate_all,torus
can you pyramid,calculate_all,pyramid
i want to all measurements for rectangle,calculate_all,rectangle
tell me everything about a triangle please,calculate_all,triangle
FULL ANALYSIS OF CIRCLE,calculate_all,circle
please calculate all properties of a cone,calculate_all,cone
ALL MEASUREMENTS FOR TRAPEZOID,calculate_all,trapezoid
full analysis of prism?,calculate_all,prism
i want to full analysis of prism,calculate_all,prism
tell me everything about a right triangle please,calculate_all,right_triangle
tell me everything about a torus?,calculate_all,torus
please all measurements for right triangle,calculate_all,right_triangle
complete  calculation  for  polygon,calculate_all,polygon
full analysis of square?,calculate_all,square
all  rectangular  prism  properties,calculate_all,rectangular_prism
all measurements for rectangular prism,calculate_all,rectangular_prism
can you tell me everything about a cone,calculate_all,cone
all measurements for cube?,calculate_all,cube
everything  about  torus,calculate_all,torus
circle?,calculate_all,circle
can you full analysis of pyramid,calculate_all,pyramid
RECTANGLE,calculate_all,rectangle
tell me everything about a prism please,calculate_all,prism
tell  me  everything  about  a  trapezoid,calculate_all,trapezoid
Calculate all properties of a pyramid,calculate_all,pyramid
i want to full analysis of triangle,calculate_all,triangle
FULL ANALYSIS OF RECTANGULAR PRISM,calculate_all,rectangular_prism
full  analysis  of  ellipse,calculate_all,ellipse
calculate  all  properties  of  a  prism,calculate_all,prism
i want to calculate all properties of a polygon,calculate_all,polygon
Tell me everything about a rectangle,calculate_all,rectangle
please torus,calculate_all,torus
full analysis of cylinder?,calculate_all,cylinder
ellipse,calculate_all,ellipse
ANALYZE A RIGHT TRIANGLE,calculate_all,right_triangle
can you full analysis of right triangle,calculate_all,right_triangle
can you complete calculation for parallelogram,calculate_all,parallelogram
complete  calculation  for  parallelogram,calculate_all,parallelogram
ANALYZE A CONE,calculate_all,cone
all measurements for trapezoid,calculate_all,trapezoid
please right triangle,calculate_all,right_triangle
everything about torus please,calculate_all,torus
please calculate all properties of a cylinder,calculate_all,cylinder
full analysis of cone,calculate_all,cone
calculate all properties of a right triangle please,calculate_all,right_triangle
parallelogram please,calculate_all,parallelogram
all measurements for cube?,calculate_all,cube
i want to analyze a rectangle,calculate_all,rectangle
please complete calculation for cube,calculate_all,cube
i want to analyze a pyramid,calculate_all,pyramid
all measurements for prism please,calculate_all,prism
COMPLETE CALCULATION FOR ELLIPSE,calculate_all,ellipse
